surname,team,position,minutes,shots,passes,tackles,saves
Jacobsen,Denmark,defender,270,0,95,3,0
Jakob Poulsen,Denmark,midfielder,60,2,40,0,0
Jensen,Denmark,midfielder,45,0,21,2,0
Jorgensen,Denmark,midfielder,169,1,78,8,0
Kahlenberg,Denmark,midfielder,159,2,59,3,0
Kjaer,Denmark,defender,180,1,41,3,0
Kroldrup,Denmark,defender,56,1,32,0,0
Larsen,Denmark,forward,34,2,5,0,0
Rommedahl,Denmark,midfielder,270,4,74,5,0
Simon Poulsen,Denmark,midfielder,270,1,99,9,0
Sorensen,Denmark,goalkeeper,270,0,52,0,16
Tomasson,Denmark,forward,176,7,51,1,0
Ashley Cole,England,defender,360,0,142,12,0
Barry,England,midfielder,264,2,171,8,0
Carragher,England,defender,135,0,74,4,0
Crouch,England,forward,17,1,7,0,0
Defoe,England,forward,173,5,17,1,0
Gerrard,England,midfielder,360,10,227,5,0
Glen Johnson,England,defender,357,3,173,17,0
Green,England,goalkeeper,90,0,21,0,3
Heskey,England,forward,176,2,53,7,0
James,England,goalkeeper,270,0,72,0,6
Joe Cole,England,midfielder,44,1,26,0,0
King,England,defender,45,0,17,0,0
Lampard,England,midfielder,360,11,232,3,0
Lennon,England,midfielder,153,0,43,1,0
Milner,England,midfielder,185,1,57,6,0
Rooney,England,forward,342,8,121,2,0
Terry,England,defender,360,2,223,3,0
Upson,England,defender,180,1,93,4,0
Wright-Phillips,England,midfielder,89,2,29,2,0
Abidal,France,defender,180,0,91,6,0
Abou Diaby,France,midfielder,270,1,111,5,0
Alou Diarra,France,midfielder,82,0,31,0,0
Anelka,France,forward,117,7,37,1,0
Cisse,France,forward,55,3,7,1,0
Clichy,France,defender,90,0,46,2,0
Evra,France,defender,180,0,92,4,0
Gallas,France,defender,270,0,96,2,0
Gignac,France,forward,95,3,19,1,0
Gourcuff,France,midfielder,100,3,40,3,0
Govou,France,forward,162,1,35,4,0
Henry,France,forward,53,1,21,2,0
Lloris,France,goalkeeper,270,0,43,0,12
Malouda,France,midfielder,150,4,76,1,0
Ribery,France,midfielder,270,4,104,9,0
Sagna,France,defender,270,0,125,4,0
Squillaci,France,defender,90,0,34,1,0
Toulalan,France,midfielder,180,1,98,9,0
Valbuena,France,midfielder,21,1,11,1,0
Badstuber,Germany,defender,167,0,84,6,0
Boateng,Germany,defender,287,1,125,10,0
Cacau,Germany,forward,132,4,54,1,0
Friedrich,Germany,defender,540,1,244,16,0
Gomez,Germany,forward,57,2,18,0,0
Jansen,Germany,defender,73,1,44,3,0
Khedira,Germany,midfielder,517,6,279,16,0
Kiessling,Germany,forward,7,0,5,0,0
Klose,Germany,forward,356,11,83,4,0
Kroos,Germany,midfielder,50,2,29,4,0
Lahm,Germany,defender,540,0,360,17,0
Marin,Germany,midfielder,29,1,6,0,0
Mertesacker,Germany,defender,540,0,282,9,0
Mueller,Germany,forward,383,7,165,9,0
Neuer,Germany,goalkeeper,540,0,99,0,20
Podolski,Germany,forward,531,17,217,9,0
Schweinsteiger,Germany,midfielder,531,5,423,23,0
Trochowski,Germany,midfielder,109,1,60,5,0
Ozil,Germany,midfielder,497,7,266,3,0
Addy,Ghana,defender,138,0,51,2,0
Adiyiah,Ghana,forward,33,0,9,0,0
Amoah,Ghana,forward,11,0,4,1,0
Annan,Ghana,midfielder,510,4,307,11,0
Appiah,Ghana,midfielder,105,1,54,2,0
Asamoah,Ghana,midfielder,480,11,214,9,0
Ayew,Ghana,midfielder,389,3,170,15,0
Boateng,Ghana,midfielder,464,12,220,20,0
Gyan,Ghana,forward,501,27,151,1,0
Inkoom,Ghana,defender,187,1,62,3,0
John Mensah,Ghana,defender,420,1,108,10,0
Jonathan Mensah,Ghana,defender,300,2,105,6,0
Kingson,Ghana,goalkeeper,510,0,105,1,20
Muntari,Ghana,midfielder,134,5,69,3,0
Owusu-Abeyie,Ghana,forward,35,2,22,0,0
Pantsil,Ghana,defender,510,2,248,7,0
Sarpei,Ghana,defender,463,0,167,13,0
Tagoe,Ghana,forward,210,3,48,1,0
Vorsah,Ghana,defender,210,1,56,2,0
Avraam Papadopoulos,Greece,defender,270,1,70,8,0
Charisteas,Greece,forward,61,0,12,2,0
Gekas,Greece,forward,169,3,26,0,0
Kapetanos,Greece,forward,29,1,7,0,0
Karagounis,Greece,midfielder,180,4,105,7,0
Katsouranis,Greece,midfielder,234,2,115,4,0
Kyrgiakos,Greece,defender,180,4,40,1,0
Moras,Greece,defender,90,0,4,2,0
Ninis,Greece,midfielder,47,1,22,4,0
Papastathopoulos,Greece,defender,127,0,18,10,0
Patsatzoglou,Greece,midfielder,80,0,31,0,0
Salpingidis,Greece,forward,121,3,28,4,0
Samaras,Greece,forward,202,7,43,1,0
Seitaridis,Greece,defender,90,0,39,6,0
Spiropoulos,Greece,defender,45,1,6,2,0
Torosidis,Greece,defender,235,3,74,5,0
Tziolis,Greece,midfielder,270,2,153,8,0
Tzorvas,Greece,goalkeeper,270,0,41,0,12
Vintra,Greece,defender,270,0,89,4,0
Alvarez,Honduras,midfielder,180,1,57,1,0
Bernardez,Honduras,defender,90,2,34,4,0
Chavez,Honduras,defender,270,0,62,3,0
Espinoza,Honduras,midfielder,135,0,36,4,0
Figueroa,Honduras,defender,270,1,94,5,0
Guevara,Honduras,midfielder,156,0,60,6,0
Izaguirre,Honduras,defender,180,0,51,8,0
Jerry Palacios,Honduras,forward,84,0,19,0,0
Mauricio Sabilluen,Honduras,defender,90,0,38,5,0
Mendoza,Honduras,defender,180,0,51,3,0
Nunez,Honduras,midfielder,172,4,60,1,0
Pavon,Honduras,forward,60,1,9,0,0
Suazo,Honduras,forward,171,2,35,0,0
Thomas,Honduras,midfielder,114,0,37,5,0
Turcios,Honduras,midfielder,66,0,27,0,0
Valladares,Honduras,goalkeeper,270,0,51,0,12
Walter Martinez,Honduras,forward,125,0,43,1,0
Welcome,Honduras,forward,87,2,16,0,0
Wilson Palacios,Honduras,midfielder,270,0,90,14,0
Buffon,Italy,goalkeeper,45,0,4,0,0
Camoranesi,Italy,midfielder,76,2,45,2,0
Cannavaro,Italy,defender,270,0,138,11,0
Chiellini,Italy,defender,270,2,155,7,0
Criscito,Italy,defender,225,1,114,6,0
De Rossi,Italy,midfielder,270,3,204,9,0
Di Natale,Italy,forward,153,6,55,2,0
Gattuso,Italy,midfielder,45,0,13,5,0
Gilardino,Italy,forward,117,1,32,0,0
Iaquinta,Italy,forward,270,5,48,3,0
Maggio,Italy,defender,45,0,21,1,0
Marchetti,Italy,goalkeeper,225,0,21,0,1
Marchisio,Italy,midfielder,120,0,57,2,0
Montolivo,Italy,midfielder,236,8,163,9,0
Pazzini,Italy,forward,29,0,6,0,0
Pepe,Italy,forward,225,3,100,5,0
Pirlo,Italy,midfielder,34,0,28,0,0
Quagliarella,Italy,forward,45,3,22,2,0
Zambrotta,Italy,defender,270,2,128,6,0
Barry,Ivory Coast,goalkeeper,270,0,23,0,8
Boka,Ivory Coast,defender,90,2,50,5,0
Demel,Ivory Coast,defender,180,0,60,6,0
Dindane,Ivory Coast,forward,170,1,66,2,0
Doumbia,Ivory Coast,forward,11,0,2,0,0
Drogba,Ivory Coast,forward,204,8,35,2,0
Eboue,Ivory Coast,defender,251,3,126,6,0
Gervinho,Ivory Coast,forward,182,5,60,1,0
Kader Keita,Ivory Coast,midfielder,94,2,48,2,0
Kalou,Ivory Coast,forward,160,4,50,3,0
Kolo Toure,Ivory Coast,defender,270,2,88,2,0
Romaric,Ivory Coast,midfielder,98,5,82,4,0
Tiote,Ivory Coast,midfielder,270,3,148,8,0
Tiene,Ivory Coast,defender,180,1,82,7,0
Yaya Toure,Ivory Coast,midfielder,270,3,197,5,0
Zokora,Ivory Coast,midfielder,270,0,96,5,0
Abe,Japan,midfielder,351,0,101,14,0
Endo,Japan,midfielder,389,1,147,9,0
Hasebe,Japan,midfielder,375,2,125,8,0
Honda,Japan,midfielder,390,8,143,5,0
Inamoto,Japan,midfielder,3,0,5,0,0
Kawashima,Japan,goalkeeper,390,0,54,0,17
Kengo Nakamura,Japan,midfielder,39,0,10,0,0
Komano,Japan,defender,390,3,115,16,0
Konno,Japan,defender,2,0,0,0,0
Marcus Tulio Tanaka,Japan,defender,390,5,129,5,0
Matsui,Japan,midfielder,273,3,95,4,0
Nagatomo,Japan,defender,390,4,68,4,0
Nakazawa,Japan,defender,390,1,106,3,0
Okazaki,Japan,forward,104,4,15,2,0
Okubo,Japan,forward,351,7,68,4,0
Shunsuke Nakamura,Japan,midfielder,26,0,18,1,0
Tamada,Japan,forward,28,0,9,0,0
Yano,Japan,forward,9,0,4,0,0
Aguilar,Mexico,defender,55,0,31,2,0
Barrera,Mexico,midfielder,149,4,59,2,0
Bautista,Mexico,forward,45,0,8,3,0
Blanco,Mexico,forward,112,2,60,3,0
Castro,Mexico,midfielder,33,0,21,1,0
Franco,Mexico,forward,253,4,71,2,0
Giovani dos Santos,Mexico,midfielder,360,2,106,4,0
Guardado,Mexico,midfielder,142,5,92,2,0
Hernandez,Mexico,forward,169,6,37,1,0
Juarez,Mexico,defender,235,0,128,6,0
Moreno,Mexico,defender,147,0,74,4,0
Marquez,Mexico,defender,360,6,244,14,0
Osorio,Mexico,defender,360,1,202,14,0
Perez,Mexico,goalkeeper,360,0,58,0,13
Rodrueguez,Mexico,defender,360,2,212,7,0
Salcido,Mexico,defender,360,9,174,15,0
Torrado,Mexico,midfielder,360,1,253,22,0
Vela,Mexico,forward,100,1,25,1,0
Afellay,Netherlands,midfielder,21,5,22,0,0
Boulahrouz,Netherlands,defender,180,0,81,8,0
Elia,Netherlands,forward,85,2,38,2,0
Heitinga,Netherlands,defender,540,0,259,10,0
Huntelaar,Netherlands,forward,48,1,12,0,0
Kuyt,Netherlands,forward,516,11,248,7,0
Mathijsen,Netherlands,defender,450,1,265,8,0
Ooijer,Netherlands,defender,90,0,30,2,0
Robben,Netherlands,forward,267,6,81,5,0
Sneijder,Netherlands,midfielder,532,15,279,7,0
Stekelenburg,Netherlands,goalkeeper,540,0,149,0,15
Van der Vaart,Netherlands,midfielder,257,8,122,4,0
Van der Wiel,Netherlands,defender,360,0,189,2,0
de Jong,Netherlands,midfielder,448,1,250,15,0
de Zeeuw,Netherlands,midfielder,47,0,37,2,0
van Bommel,Netherlands,midfielder,540,2,307,31,0
van Bronckhorst,Netherlands,defender,540,1,271,10,0
van Persie,Netherlands,forward,479,14,108,1,0
Barron,New Zealand,midfielder,1,0,0,0,0
Bertos,New Zealand,midfielder,270,0,79,5,0
Brockie,New Zealand,midfielder,11,0,5,0,0
Christie,New Zealand,midfielder,21,0,9,1,0
Elliott,New Zealand,midfielder,270,1,119,7,0
Fallon,New Zealand,forward,222,1,60,1,0
Killen,New Zealand,forward,240,3,60,7,0
Lochhead,New Zealand,defender,270,0,47,5,0
Nelsen,New Zealand,defender,270,0,92,1,0
Paston,New Zealand,goalkeeper,270,0,64,0,9
Reid,New Zealand,defender,270,2,90,10,0
Smeltz,New Zealand,forward,270,5,59,5,0
Smith,New Zealand,defender,270,1,79,2,0
Vicelich,New Zealand,defender,249,1,88,4,0
Wood,New Zealand,forward,66,1,16,0,0
Afolabi,Nigeria,defender,103,0,38,1,0
Ayila Yussuf,Nigeria,midfielder,90,0,44,1,0
Echiejile,Nigeria,defender,67,0,22,1,0
Enyeama,Nigeria,goalkeeper,270,0,30,0,20
Etuhu,Nigeria,midfielder,270,0,111,5,0
Haruna,Nigeria,midfielder,180,1,77,3,0
Kaita,Nigeria,midfielder,123,2,45,2,0
Kanu,Nigeria,forward,57,0,18,0,0
Martins,Nigeria,forward,71,2,16,0,0
Obasi,Nigeria,forward,195,6,62,8,0
Odemwingie,Nigeria,forward,75,0,28,1,0
Odiah,Nigeria,defender,270,0,107,5,0
Shittu,Nigeria,defender,270,0,61,5,0
Taiwo,Nigeria,defender,129,3,36,4,0
Uche,Nigeria,midfielder,196,6,73,2,0
Victor Obinna,Nigeria,forward,72,3,25,4,0
Yakubu,Nigeria,forward,250,6,43,2,0
Yobo,Nigeria,defender,225,0,52,2,0
Ahn Young-Hak,North Korea,midfielder,270,1,123,11,0
Cha Jong-Hyok,North Korea,defender,255,4,74,5,0
Choe Kum-Chol,North Korea,forward,23,1,13,0,0
Hong Yong-Jo,North Korea,forward,270,4,107,3,0
Ji Yun-Nam,North Korea,midfielder,270,3,73,11,0
Jong Tae-Se,North Korea,forward,270,13,58,2,0
Kim Kum-Il,North Korea,forward,42,0,18,0,0
Kim Yong-Jun,North Korea,midfielder,32,1,10,0,0
Mun In-Guk,North Korea,midfielder,205,2,71,7,0
Nam Song-Chol,North Korea,defender,15,0,6,0,0
Pak Chol-Jin,North Korea,defender,270,0,56,4,0
Pak Nam-Chol,North Korea,midfielder,238,1,101,7,0
Ri Jun-Il,North Korea,defender,270,1,75,2,0
Ri Kwang-Chon,North Korea,defender,270,1,59,4,0
Ri Myong-Guk,North Korea,goalkeeper,270,0,46,0,19
Alcaraz,Paraguay,defender,390,1,172,13,0
Barreto,Paraguay,midfielder,111,2,38,3,0
Barrios,Paraguay,forward,308,6,89,2,0
Benitez,Paraguay,forward,83,2,25,2,0
Bonet,Paraguay,midfielder,300,0,108,4,0
Caniza,Paraguay,defender,90,4,44,1,0
Cardozo,Paraguay,forward,204,3,53,2,0
Caceres,Paraguay,defender,90,0,71,0,0
Caceres,Paraguay,midfielder,354,1,170,17,0
Da Silva,Paraguay,defender,480,1,235,11,0
Morel Rodriguez,Paraguay,defender,480,1,202,7,0
Ortigoza,Paraguay,midfielder,75,0,60,5,0
Riveros,Paraguay,midfielder,480,5,236,22,0
Santa Cruz,Paraguay,forward,312,6,134,1,0
Santana,Paraguay,midfielder,120,2,28,7,0
Torres,Paraguay,defender,82,2,29,1,0
Valdez,Paraguay,forward,337,8,57,9,0
Vera,Paraguay,midfielder,414,5,138,14,0
Veruen,Paraguay,defender,90,0,26,3,0
Villar,Paraguay,goalkeeper,480,0,99,0,10
Almeida,Portugal,forward,136,5,42,3,0
Amorim,Portugal,midfielder,5,1,7,0,0
Bruno Alves,Portugal,defender,360,1,166,5,0
Carvalho,Portugal,defender,360,2,173,11,0
Danny,Portugal,forward,176,1,62,7,0
Deco,Portugal,midfielder,62,0,45,1,0
Duda,Portugal,defender,70,0,18,2,0
Eduardo,Portugal,goalkeeper,360,0,51,0,17
Ferreira,Portugal,defender,90,0,37,1,0
Fabio Coentrao,Portugal,defender,360,1,152,13,0
Liedson,Portugal,forward,121,4,27,2,0
Meireles,Portugal,midfielder,329,6,154,9,0
Mendes,Portugal,midfielder,224,0,117,9,0
Miguel,Portugal,defender,90,1,52,2,0
Pepe,Portugal,midfielder,136,1,43,3,0
Ricardo Costa,Portugal,defender,179,0,44,9,0
Ronaldo,Portugal,forward,360,18,91,3,0
Simao,Portugal,midfielder,217,2,76,7,0
Tiago,Portugal,midfielder,298,6,155,15,0
Veloso,Portugal,midfielder,26,1,30,1,0
Ivanovic,Serbia,defender,270,3,115,2,0
Jovanovic,Serbia,midfielder,245,4,65,2,0
Kacar,Serbia,midfielder,20,1,7,1,0
Kolarov,Serbia,defender,180,2,46,8,0
Krasic,Serbia,midfielder,242,3,60,2,0
Kuzmanovic,Serbia,midfielder,180,4,103,1,0
Lazovic,Serbia,forward,44,1,14,0,0
Lukovic,Serbia,defender,164,1,98,6,0
Milijas,Serbia,midfielder,62,0,35,3,0
Ninkovic,Serbia,midfielder,160,1,91,2,0
Obradovic,Serbia,defender,90,1,42,2,0
Pantelic,Serbia,forward,113,3,24,1,0
Petrovic,Serbia,midfielder,15,1,3,1,0
Stankovic,Serbia,midfielder,270,3,165,5,0
Stojkovic,Serbia,goalkeeper,270,0,52,0,7
Subotic,Serbia,defender,104,0,49,3,0
Tosic,Serbia,midfielder,28,3,9,0,0
Vidic,Serbia,defender,270,2,158,7,0
Zigic,Serbia,forward,227,5,65,2,0
Cech,Slovakia,defender,90,0,35,2,0
Durica,Slovakia,defender,360,1,159,4,0
Hamsik,Slovakia,midfielder,358,5,143,3,0
Holosko,Slovakia,forward,29,0,11,1,0
Jakubko,Slovakia,forward,2,0,1,0,0
Jendrisek,Slovakia,forward,250,3,55,4,0
Kopunek,Slovakia,midfielder,22,1,17,0,0
Kozak,Slovakia,midfielder,90,0,66,3,0
Kucka,Slovakia,midfielder,181,4,71,10,0
Mucha,Slovakia,goalkeeper,360,0,85,0,14
Pekaruek,Slovakia,defender,270,0,93,8,0
Petras,Slovakia,defender,1,0,0,0,0
Salata,Slovakia,defender,83,1,40,2,0
Sapara,Slovakia,midfielder,2,0,5,0,0
Sestak,Slovakia,forward,152,3,27,1,0
Skrtel,Slovakia,defender,360,0,202,4,0
Stoch,Slovakia,midfielder,193,2,76,1,0
Strba,Slovakia,midfielder,267,2,137,5,0
Vittek,Slovakia,forward,353,10,118,0,0
Weiss,Slovakia,midfielder,269,2,84,2,0
Zabavnuek,Slovakia,defender,268,1,94,8,0
Birsa,Slovenia,midfielder,261,6,61,5,0
Brecko,Slovenia,defender,270,1,95,5,0
Cesar,Slovenia,defender,270,1,89,2,0
Dedic,Slovenia,forward,84,0,22,1,0
Handanovic,Slovenia,goalkeeper,270,0,66,0,13
Jokic,Slovenia,defender,270,0,109,10,0
Kirm,Slovenia,midfielder,259,1,88,4,0
Komac,Slovenia,midfielder,4,0,3,1,0
Koren,Slovenia,midfielder,270,3,162,3,0
Ljubijankic,Slovenia,forward,173,2,36,2,0
Matavz,Slovenia,forward,11,0,4,0,0
Novakovic,Slovenia,forward,270,2,68,1,0
Pecnik,Slovenia,forward,21,0,4,1,0
Radosavljevic,Slovenia,midfielder,267,1,129,6,0
Suler,Slovenia,defender,270,0,102,5,0
Dikgacoi,South Africa,midfielder,180,2,108,4,0
Josephs,South Africa,goalkeeper,101,0,20,0,3
Khuboni,South Africa,midfielder,78,1,48,1,0
Khumalo,South Africa,defender,270,2,74,4,0
Khune,South Africa,goalkeeper,166,1,24,0,4
Letsholonyane,South Africa,midfielder,147,0,89,6,0
Masilela,South Africa,defender,225,0,107,6,0
Modise,South Africa,midfielder,192,5,111,4,0
Mokoena,South Africa,defender,270,0,83,5,0
Moriri,South Africa,midfielder,33,0,22,0,0
Mphela,South Africa,forward,270,10,60,2,0
Ngongca,South Africa,defender,55,0,21,1,0
Nomvete,South Africa,forward,22,0,5,1,0
Pa Gaxa,South Africa,defender,215,1,95,2,0
Parker,South Africa,forward,75,1,32,2,0
Pienaar,South Africa,midfielder,252,2,126,3,0
Sibaya,South Africa,midfielder,90,1,39,2,0
Thwala,South Africa,defender,45,0,19,2,0
Tshabalala,South Africa,midfielder,270,9,135,8,0
Cha Du-Ri,South Korea,defender,270,2,105,3,0
Cho Yong-Hyung,South Korea,defender,360,0,111,10,0
Jung Sung-Ryong,South Korea,goalkeeper,360,0,49,0,14
Ki Sung-Yong,South Korea,midfielder,292,2,162,6,0
Kim Dong-Jin,South Korea,defender,1,0,0,0,0
Kim Jae-Sung,South Korea,midfielder,65,0,37,0,0
Kim Jung-Woo,South Korea,midfielder,360,4,184,10,0
Kim Nam-Il,South Korea,midfielder,86,2,38,6,0
Lee Chung-Yong,South Korea,midfielder,359,7,147,12,0
Lee Dong-Gook,South Korea,forward,38,1,14,0,0
Lee Jung-Soo,South Korea,defender,360,2,164,8,0
Lee Seung-Yeoul,South Korea,forward,3,0,0,0,0
Lee Young-Pyo,South Korea,defender,360,2,160,2,0
Oh Beom-Seok,South Korea,defender,90,1,34,3,0
Park Chu-Young,South Korea,forward,347,14,96,0,0
Park Ji-Sung,South Korea,midfielder,360,5,127,13,0
Yeom Ki-Hun,South Korea,midfielder,249,2,80,6,0
Alonso,Spain,midfielder,506,9,465,18,0
Arbeloa,Spain,defender,13,0,12,0,0
Busquets,Spain,midfielder,511,0,466,15,0
Capdevila,Spain,defender,540,1,310,10,0
Casillas,Spain,goalkeeper,540,0,67,0,11
Fabregas,Spain,midfielder,94,1,116,2,0
Iniesta,Spain,midfielder,437,8,299,11,0
Javi Martuenez,Spain,midfielder,17,0,17,0,0
Jesus Navas,Spain,midfielder,118,4,61,1,0
Juan Mata,Spain,midfielder,20,1,16,0,0
Llorente,Spain,forward,31,2,12,0,0
Marchena,Spain,defender,8,0,1,0,0
Pedro Rodriguez,Spain,midfielder,116,5,80,0,0
Pique,Spain,defender,540,2,402,15,0
Puyol,Spain,defender,534,3,254,8,0
Ramos,Spain,defender,527,9,299,7,0
Silva,Spain,midfielder,66,2,42,2,0
Torres,Spain,forward,278,9,50,0,0
Villa,Spain,forward,529,22,169,2,0
Xavi,Spain,midfielder,515,4,563,6,0
Barnetta,Switzerland,midfielder,227,3,104,5,0
Behrami,Switzerland,midfielder,31,0,4,1,0
Benaglio,Switzerland,goalkeeper,270,0,75,0,11
Bunjaku,Switzerland,forward,13,0,5,0,0
Derdiyok,Switzerland,forward,191,4,47,1,0
Eggimann,Switzerland,defender,1,0,0,0,0
Fernandes,Switzerland,midfielder,212,1,56,7,0
Frei,Switzerland,forward,63,2,11,0,0
Grichting,Switzerland,defender,270,1,82,6,0
Huggel,Switzerland,midfielder,258,0,87,8,0
Inler,Switzerland,midfielder,270,2,138,6,0
Lichtsteiner,Switzerland,defender,270,2,80,10,0
Nkufo,Switzerland,forward,227,2,65,2,0
Senderos,Switzerland,defender,36,0,9,1,0
Shaqiri,Switzerland,midfielder,12,0,9,0,0
Yakin,Switzerland,midfielder,56,3,26,0,0
Ziegler,Switzerland,defender,270,1,71,9,0
von Bergen,Switzerland,defender,234,0,79,3,0
Abreu,Uruguay,forward,72,0,15,0,0
Arevalo Rios,Uruguay,midfielder,570,5,195,21,0
Cavani,Uruguay,forward,435,9,151,11,0
