,customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
19,4183-MYFRB,0,0,0,0,21,1,0,1,0,1,1,0,0,1,0,1,0,90.05,1862.9,0
20,8779-QRDMV,1,1,0,0,1,0,0,2,0,0,1,0,0,1,0,1,0,39.65,39.65,1
21,1680-VDCWW,1,0,1,0,12,1,0,0,0,0,0,0,0,0,1,0,2,19.8,202.25,0
22,1066-JKSGK,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,20.15,20.15,1
23,3638-WEABW,0,0,1,0,58,1,1,2,0,1,0,1,0,0,2,1,3,59.9,3505.1,0
24,6322-HRPFA,1,0,1,1,49,1,0,2,1,1,0,1,0,0,0,0,3,59.6,2970.3,0
25,6865-JZNKO,0,0,0,0,30,1,0,2,1,1,0,0,0,0,0,1,2,55.3,1530.6,0
26,6467-CHFZW,1,0,1,1,47,1,1,1,0,1,0,0,1,1,0,1,0,99.35,4749.15,1
27,8665-UTDHZ,1,0,1,1,1,0,0,2,0,1,0,0,0,0,0,0,0,30.2,30.2,1
28,5248-YGIJN,1,0,1,0,72,1,1,2,1,1,1,1,1,1,2,1,3,90.25,6369.45,0
29,8773-HHUOZ,0,0,0,1,17,1,0,2,0,0,0,0,1,1,0,1,1,64.7,1093.1,1
30,3841-NFECX,0,1,1,0,71,1,1,1,1,1,1,1,0,0,2,1,3,96.35,6766.95,0
31,4929-XIHVW,1,1,1,0,2,1,0,1,0,0,1,0,1,1,0,1,3,95.5,181.65,0
32,6827-IEAUQ,0,0,1,1,27,1,0,2,1,1,1,1,0,0,1,0,1,66.15,1874.45,0
33,7310-EGVHZ,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,20.2,20.2,0
34,3413-BMNZE,1,1,0,0,1,1,0,2,0,0,0,0,0,0,0,0,2,45.25,45.25,0
35,6234-RAAPL,0,0,1,1,72,1,1,1,1,1,0,1,1,0,2,0,2,99.9,7251.7,0
36,6047-YHPVI,1,0,0,0,5,1,0,1,0,0,0,0,0,0,0,1,0,69.7,316.9,1
37,6572-ADKRS,0,0,0,0,46,1,0,1,0,0,1,0,0,0,0,1,3,74.8,3548.3,0
38,5380-WJKOV,1,0,0,0,34,1,1,1,0,1,1,0,1,1,0,1,0,106.35,3549.25,1
39,8168-UQWWF,0,0,0,0,11,1,1,1,0,0,1,0,1,1,0,1,2,97.85,1105.4,1
40,8865-TNMNX,1,0,1,1,10,1,0,2,0,1,0,0,0,0,1,0,1,49.55,475.7,0
41,9489-DEDVP,0,0,1,1,70,1,1,2,1,1,0,0,1,0,2,1,3,69.2,4872.35,0
42,9867-JCZSP,0,0,1,1,17,1,0,0,0,0,0,0,0,0,1,0,1,20.75,418.25,0
43,4671-VJLCL,0,0,0,0,63,1,1,2,1,1,1,1,1,0,2,1,3,79.85,4861.45,0
44,4080-IIARD,0,0,1,0,13,1,1,2,1,1,0,1,1,0,0,1,0,76.2,981.45,0
45,3714-NTNFO,0,0,0,0,49,1,1,1,0,0,0,0,0,1,0,1,0,84.5,3906.7,0
46,5948-UJZLF,1,0,0,0,2,1,0,2,0,1,0,0,0,0,0,0,1,49.25,97.0,0
47,7760-OYPDY,0,0,0,0,2,1,0,1,0,0,0,0,1,0,0,1,0,80.65,144.15,1
48,7639-LIAYI,1,0,0,0,52,1,1,2,1,0,0,1,1,1,2,1,3,79.75,4217.8,0
49,2954-PIBKO,0,0,1,1,69,1,1,2,1,0,1,1,0,0,2,1,3,64.15,4254.1,0
50,8012-SOUDQ,0,1,0,0,43,1,1,1,0,1,0,0,1,0,0,1,0,90.25,3838.75,0
51,9420-LOJKX,0,0,0,0,15,1,0,1,1,1,0,0,1,1,0,1,3,99.1,1426.4,1
52,6575-SUVOI,0,1,1,0,25,1,1,2,1,0,0,1,1,0,0,1,3,69.5,1752.65,0
53,7495-OOKFY,0,1,1,0,8,1,1,1,0,1,0,0,0,0,0,1,3,80.65,633.3,1
54,4667-QONEA,0,1,1,1,60,1,0,2,1,1,1,1,0,1,1,1,3,74.85,4456.35,0
55,1658-BYGOY,1,1,0,0,18,1,1,1,0,0,0,0,1,1,0,1,0,95.45,1752.55,1
56,8769-KKTPH,0,0,1,1,63,1,1,1,1,0,0,0,1,1,1,1,3,99.65,6311.2,0
57,5067-XJQFU,1,1,1,1,66,1,1,1,0,1,1,1,1,1,1,1,0,108.45,7076.35,0
58,3957-SQXML,0,0,1,1,34,1,1,0,0,0,0,0,0,0,2,0,3,24.95,894.3,0
59,5954-BDFSG,0,0,0,0,72,1,1,1,0,0,1,1,1,1,2,1,3,107.5,7853.7,0
60,0434-CSFON,0,0,1,0,47,1,1,1,0,0,1,0,1,1,0,1,0,100.5,4707.1,0
61,1215-FIGMP,1,0,0,0,60,1,1,1,0,1,0,0,1,0,0,1,2,89.9,5450.7,0
62,0526-SXDJP,1,0,1,0,72,0,0,2,1,1,1,0,0,0,2,0,2,42.1,2962.0,0
63,0557-ASKVU,0,0,1,1,18,1,0,2,0,0,1,1,0,0,1,1,3,54.4,957.1,0
64,5698-BQJOH,0,0,0,0,9,1,1,1,0,0,0,0,1,1,0,0,0,94.4,857.25,1
65,5122-CYFXA,0,0,0,0,3,1,0,2,0,1,0,1,1,1,0,1,0,75.3,244.1,0
66,8627-ZYGSZ,1,0,1,0,47,1,1,1,0,1,0,0,0,0,1,1,0,78.9,3650.35,0
67,3410-YOQBQ,0,0,0,0,31,1,0,2,0,1,1,1,1,1,2,0,1,79.2,2497.2,0
68,3170-NMYVV,0,0,1,1,50,1,0,0,0,0,0,0,0,0,2,0,2,20.15,930.9,0
69,7410-OIEDU,1,0,0,0,10,1,0,1,1,0,1,0,0,0,0,1,1,79.85,887.35,0
70,2273-QCKXA,1,0,0,0,1,1,0,2,0,0,0,1,0,0,0,0,1,49.05,49.05,0
71,0731-EBJQB,0,0,1,1,52,1,0,0,0,0,0,0,0,0,1,1,0,20.4,1090.65,0
72,1891-QRQSA,1,1,1,1,64,1,1,1,1,0,1,1,1,1,2,1,2,111.6,7099.0,0
73,8028-PNXHQ,1,0,1,1,62,1,1,0,0,0,0,0,0,0,2,1,2,24.25,1424.6,0
74,5630-AHZIL,0,0,0,1,3,1,0,2,1,0,0,1,0,1,0,1,2,64.5,177.4,0
75,2673-CXQEU,0,1,0,0,56,1,1,1,1,1,1,0,1,1,1,0,0,110.5,6139.5,0
76,6416-JNVRK,0,0,0,0,46,1,0,2,0,0,0,0,0,1,1,0,3,55.65,2688.85,0
77,5590-ZSKRV,0,0,1,1,8,1,0,2,1,1,0,0,0,0,0,0,1,54.65,482.25,0
78,0191-ZHSKZ,1,1,0,0,30,1,0,2,1,1,0,0,1,1,0,1,0,74.75,2111.3,0
79,3887-PBQAO,0,0,1,1,45,1,1,0,0,0,0,0,0,0,1,1,3,25.9,1216.6,0
80,5919-TMRGD,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0,1,0,79.35,79.35,1
81,8108-UXRQN,0,0,1,1,11,0,0,2,1,0,0,0,1,1,0,0,0,50.55,565.35,0
82,9191-MYQKX,0,0,1,0,7,1,0,1,0,0,1,0,0,0,0,1,2,75.15,496.9,1
83,9919-YLNNG,0,0,0,0,42,1,0,1,0,1,1,1,1,1,0,1,2,103.8,4327.5,0
84,0318-ZOPWS,0,0,1,0,49,1,0,0,0,0,0,0,0,0,2,1,2,20.15,973.35,0
85,4445-ZJNMU,1,0,0,0,9,1,1,1,0,1,0,0,1,1,0,1,3,99.3,918.75,0
86,4808-YNLEU,0,0,1,0,35,1,0,2,1,0,0,0,1,0,1,1,2,62.15,2215.45,0
87,1862-QRWPE,0,0,1,1,48,1,0,0,0,0,0,0,0,0,2,0,2,20.65,1057.0,0
88,2796-NNUFI,0,0,1,1,46,1,0,0,0,0,0,0,0,0,2,1,1,19.95,927.1,0
89,3016-KSVCP,1,0,1,0,29,0,0,2,0,0,0,0,1,0,0,0,1,33.75,1009.25,0
90,4767-HZZHQ,1,0,1,1,30,1,0,1,0,1,1,0,0,0,0,0,2,82.05,2570.2,0
91,2424-WVHPL,1,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,74.7,74.7,0
92,7233-PAHHL,1,0,1,1,66,1,1,2,1,0,1,1,1,1,2,1,1,84.0,5714.25,0
93,6067-NGCEU,0,0,0,0,65,1,1,1,1,1,1,0,1,1,0,1,3,111.05,7107.0,0
94,9848-JQJTX,1,0,0,0,72,1,1,1,0,1,1,0,1,1,2,1,2,100.9,7459.05,0
95,8637-XJIVR,0,0,0,0,12,1,1,1,1,0,0,0,0,0,0,1,0,78.95,927.35,1
96,9803-FTJCG,1,0,1,1,71,1,1,2,1,1,0,1,0,0,1,1,3,66.85,4748.7,0
97,0278-YXOOG,1,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,1,21.05,113.85,1
98,3212-KXOCR,1,0,0,0,52,1,0,0,0,0,0,0,0,0,2,0,2,21.0,1107.2,0
99,4598-XLKNJ,0,1,1,0,25,1,0,1,0,1,1,0,1,1,0,1,0,98.5,2514.5,1
100,6380-ARCEH,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,20.2,20.2,0
101,3679-XASPY,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,19.45,19.45,0
102,7123-WQUHX,1,0,0,0,38,1,1,1,0,0,1,1,1,0,1,0,2,95.0,3605.6,0
103,5386-THSLQ,0,1,1,0,66,0,0,2,0,1,1,0,1,0,1,0,2,45.55,3027.25,0
104,3192-NQECA,1,0,1,0,68,1,1,1,0,1,1,1,1,1,2,1,2,110.0,7611.85,1
105,6180-YBIQI,1,0,0,0,5,0,0,2,0,0,0,0,0,0,0,0,1,24.3,100.2,0
106,6728-DKUCO,0,0,1,1,72,1,1,1,1,1,0,0,1,1,1,1,0,104.15,7303.05,0
107,9750-BOOHV,0,0,0,0,32,0,0,2,1,0,0,0,0,0,1,0,1,30.15,927.65,0
108,8597-CWYHH,1,0,0,0,43,1,1,1,0,0,0,0,1,1,1,0,1,94.35,3921.3,0
109,2848-YXSMW,1,0,1,1,72,1,0,0,0,0,0,0,0,0,2,0,3,19.4,1363.25,0
110,0486-HECZI,1,0,1,0,55,1,1,1,1,1,0,0,1,0,0,1,0,96.75,5238.9,1
111,4549-ZDQYY,0,0,0,0,52,1,0,2,1,0,1,1,0,0,1,0,3,57.95,3042.25,0
112,5712-AHQNN,0,0,0,0,43,1,0,1,0,1,1,0,1,0,0,1,0,91.65,3954.1,0
113,4846-WHAFZ,0,1,1,0,37,1,1,1,0,0,0,0,0,0,0,1,0,76.5,2868.15,1
114,5256-SKJGO,0,0,1,1,64,0,0,2,0,1,0,1,1,1,2,1,0,54.6,3423.5,0
115,3071-VBYPO,1,0,1,1,3,1,0,1,1,1,0,0,1,0,0,0,0,89.85,248.4,0
116,9560-BBZXK,0,0,0,0,36,0,0,2,1,0,0,0,0,0,2,0,2,31.05,1126.35,0
117,5299-RULOA,0,0,1,1,10,1,1,1,1,0,0,0,1,1,0,1,0,100.25,1064.65,1
118,8402-OOOHJ,0,0,0,0,41,1,0,0,0,0,0,0,0,0,2,0,1,20.65,835.15,0
119,9445-ZUEQE,1,0,1,1,27,1,1,1,0,1,0,1,0,0,0,1,3,85.2,2151.6,0
120,1091-SOZGA,0,0,1,1,56,1,1,1,0,0,1,0,1,1,1,1,3,99.8,5515.45,0
121,2928-HLDBA,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,1,20.7,112.75,0
122,0404-SWRVG,1,0,0,0,3,1,1,1,0,0,0,0,0,0,0,1,0,74.4,229.55,1
123,6497-TILVL,0,0,1,1,7,1,0,2,1,0,0,0,0,0,0,0,1,50.7,350.35,0
124,7219-TLZHO,0,0,1,1,4,1,0,0,0,0,0,0,0,0,0,0,1,20.85,62.9,0
125,4622-YNKIJ,1,0,0,0,33,1,0,1,1,0,0,1,1,0,2,1,0,88.95,3027.65,0
126,4412-YLTKF,0,1,0,0,27,1,1,1,0,0,1,0,0,0,0,1,0,78.05,2135.5,1
127,6734-PSBAW,1,0,1,0,72,1,1,0,0,0,0,0,0,0,2,1,2,23.55,1723.95,0
128,3930-ZGWVE,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,19.75,19.75,0
129,2639-UGMAZ,1,1,0,0,71,0,0,2,1,1,0,0,1,1,1,1,0,56.45,3985.35,0
130,2876-GZYZC,0,0,0,0,13,1,1,1,0,0,0,0,0,1,0,1,0,85.95,1215.65,0
131,6207-WIOLX,0,0,1,1,25,0,0,2,1,1,1,0,1,1,0,1,3,58.6,1502.65,1
132,8587-XYZSF,1,0,0,0,67,1,0,2,0,0,0,1,0,0,2,0,2,50.55,3260.1,0
133,3091-FYHKI,1,0,0,0,1,0,0,2,0,0,0,0,0,1,0,1,0,35.45,35.45,1
134,2372-HWUHI,1,0,0,0,2,1,0,2,0,0,0,0,0,0,0,0,0,44.35,81.25,1
135,7799-LGRDP,0,0,0,0,43,1,1,0,0,0,0,0,0,0,2,1,3,25.7,1188.2,0
136,7850-VWJUU,0,0,0,0,23,1,0,1,1,0,0,0,0,0,0,1,2,75.0,1778.5,0
137,3774-VBNXY,0,0,1,1,64,1,0,0,0,0,0,0,0,0,2,0,1,20.2,1277.75,0
138,6217-KDYWC,1,0,0,1,57,1,0,0,0,0,0,0,0,0,2,1,1,19.6,1170.55,0
139,0390-DCFDQ,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1,1,70.45,70.45,1
140,3146-MSEGF,0,1,1,1,72,1,1,2,1,1,1,1,1,1,2,1,3,88.05,6425.65,0
141,4080-OGPJL,0,0,0,0,8,1,1,2,1,0,0,1,0,1,0,0,0,71.15,563.65,1
142,1095-WGNGG,0,0,1,0,61,1,1,1,0,1,0,0,1,1,2,1,2,101.05,5971.25,0
143,2636-SJDOU,1,0,0,0,64,1,1,1,1,1,0,0,0,0,1,1,3,84.3,5289.05,0
144,1131-QQZEB,1,1,1,0,71,1,1,0,0,0,0,0,0,0,2,0,2,23.95,1756.2,0
145,5716-EZXZN,0,0,1,1,65,1,1,1,1,1,0,1,1,0,2,1,3,99.05,6416.7,0
146,6837-BJYDQ,1,0,0,0,3,1,0,0,0,0,0,0,0,0,1,0,1,19.6,61.35,0
147,2135-RXIHG,1,0,0,0,1,1,0,2,0,0,0,0,0,0,0,1,0,45.65,45.65,1
148,6440-DKQGE,1,0,0,1,30,1,0,2,0,1,1,0,1,0,1,0,3,64.5,1929.95,0
149,3466-BYAVD,1,0,1,1,15,1,0,2,0,1,1,1,0,1,0,1,1,69.5,1071.4,0
150,3780-YVMFA,0,0,1,1,8,1,0,2,0,0,0,1,1,1,0,1,0,68.55,564.35,0
151,3874-EQOEP,1,0,0,0,7,1,1,1,0,0,0,0,1,1,0,0,1,95.0,655.5,1
152,1679-JRFBR,0,0,1,1,70,1,1,1,1,1,1,0,1,1,1,1,3,108.15,7930.55,0
153,9073-ZZIAY,1,0,1,1,62,1,0,2,1,1,1,1,1,1,2,0,0,86.1,5215.25,0
154,3077-RSNTJ,0,0,1,1,6,1,0,0,0,0,0,0,0,0,0,0,1,19.7,113.5,0
155,6551-GNYDG,0,0,1,1,14,1,0,1,0,0,0,0,0,1,0,1,2,80.9,1152.8,0
156,9167-APMXZ,0,0,0,0,22,1,1,1,0,0,0,0,1,0,0,1,2,84.15,1821.95,0
157,2749-CTKAJ,1,0,1,1,22,1,0,0,0,0,0,0,0,0,1,0,1,20.15,419.9,0
158,6371-NZYEG,1,0,1,1,16,1,0,2,1,0,1,0,1,0,2,0,1,64.25,1024.0,0
159,7554-NEWDD,1,0,0,0,10,1,1,0,0,0,0,0,0,0,2,0,2,25.7,251.6,0
160,8992-VONJD,0,0,0,1,13,1,0,2,1,1,0,0,0,0,0,1,0,56.0,764.55,0
161,0867-MKZVY,0,0,1,0,20,1,1,1,1,0,0,0,0,0,0,0,0,82.4,1592.35,1
162,4482-EWFMI,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,1,0,69.7,135.2,0
163,4648-YPBTM,1,0,0,0,53,1,1,2,0,1,1,1,0,1,2,1,2,73.9,3958.25,0
164,2907-ILJBN,0,0,1,1,11,1,0,0,0,0,0,0,0,0,1,0,1,20.6,233.9,0
165,6345-FZOQH,1,0,1,0,69,1,0,0,0,0,0,0,0,0,2,0,1,19.9,1363.45,0
166,3376-BMGFE,0,0,0,0,4,1,0,1,0,0,0,0,0,0,0,1,2,70.9,273.0,1
167,5997-OPVFA,1,0,1,0,72,1,1,2,1,1,1,1,1,1,2,1,2,89.05,6254.45,0
168,3445-HXXGF,1,1,1,0,58,0,0,2,0,1,1,0,0,1,0,1,0,45.3,2651.2,1
169,1159-WFSGR,0,0,1,1,16,1,0,0,0,0,0,0,0,0,0,0,0,20.4,321.4,0
170,7654-YWJUF,1,0,1,0,43,1,0,1,1,0,1,1,0,0,1,1,2,84.25,3539.25,0
171,1875-QIVME,0,0,1,0,2,1,1,1,0,0,1,1,1,1,0,1,0,104.4,242.8,1
172,6727-IOTLZ,1,0,1,0,14,1,0,2,0,1,1,1,1,1,2,0,1,81.95,1181.75,0
173,0691-JVSYA,0,0,1,0,53,1,0,1,0,0,1,0,1,1,1,1,2,94.85,5000.2,1
174,5918-VUKWP,0,0,0,0,32,1,0,0,0,0,0,0,0,0,1,0,2,20.55,654.55,0
175,1744-JHKYS,0,0,1,0,34,1,1,0,0,0,0,0,0,0,0,0,0,24.7,780.2,0
176,2656-FMOKZ,0,1,0,0,15,1,1,1,0,0,0,0,0,0,0,1,1,74.45,1145.7,1
177,2070-FNEXE,0,1,0,0,7,1,0,1,1,0,0,0,0,0,0,0,2,76.45,503.6,1
178,5947-SGKCL,0,0,1,1,15,1,1,1,0,1,1,0,1,1,0,1,2,105.35,1559.25,0
179,3712-PKXZA,1,0,1,0,61,1,0,0,0,0,0,0,0,0,1,1,3,20.55,1252.0,0
180,6317-YPKDH,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,2,29.95,29.95,1
181,6582-OIVSP,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,1,45.3,45.3,0
182,9367-WXLCH,1,0,0,0,8,1,1,1,0,0,0,0,0,1,0,0,2,84.5,662.65,1
183,5524-KHNJP,1,0,1,1,33,1,0,2,1,0,1,0,1,1,1,0,3,74.75,2453.3,0
184,1918-ZBFQJ,0,0,0,0,13,1,0,1,0,1,1,0,0,0,0,1,0,79.25,1111.65,1
185,1024-GUALD,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,1,0,24.8,24.8,1
186,4827-USJHP,1,0,0,0,20,1,0,2,0,1,0,0,0,0,0,1,1,51.8,1023.85,0
187,8167-GJLRN,1,0,0,0,3,0,0,2,0,0,0,1,0,0,0,0,0,30.4,82.15,0
188,0956-SYCWG,0,0,0,0,13,1,0,0,0,0,0,0,0,0,1,0,0,19.65,244.8,0
189,8017-UVSZU,0,0,1,0,40,1,1,2,0,1,0,0,0,0,0,0,3,56.6,2379.1,0
190,7100-FQPRV,1,0,1,1,43,1,1,2,1,0,0,1,0,1,1,1,3,71.9,3173.35,0
191,2472-OVKUP,1,0,1,0,6,1,0,1,0,1,1,0,0,1,0,1,0,91.0,531.0,1
192,2984-RGEYA,0,0,1,1,69,1,0,0,0,0,0,0,0,0,2,0,2,19.75,1375.4,0
193,9680-NIAUV,0,0,1,1,72,1,1,1,1,1,1,0,1,1,2,0,3,109.7,8129.3,0
194,2146-EGVDT,1,0,1,1,59,1,0,0,0,0,0,0,0,0,2,0,3,19.3,1192.7,0
195,2604-IJPDU,0,0,1,0,20,1,0,1,1,1,0,1,1,0,0,1,0,96.55,1901.65,0
196,9178-JHUVJ,1,0,1,1,24,1,1,0,0,0,0,0,0,0,2,1,2,24.1,587.4,0
197,6168-YBYNP,1,0,0,0,59,1,1,1,0,1,1,1,1,1,0,1,0,111.35,6519.75,0
198,7255-SSFBC,1,0,1,1,72,1,1,1,0,1,1,1,1,1,2,1,2,112.25,8041.65,0
199,3645-DEYGF,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,20.75,20.75,0
200,9323-HGFWY,0,0,1,0,27,1,0,1,1,0,0,1,1,1,1,1,3,101.9,2681.15,0
201,8544-GOQSH,0,0,0,0,14,1,0,1,0,1,0,1,0,0,0,1,3,80.05,1112.3,0
202,3363-DTIVD,1,0,1,1,71,1,1,1,1,0,1,0,1,1,2,0,0,105.55,7405.5,0
203,7018-WBJNK,1,0,0,1,13,1,0,1,0,0,0,0,1,0,0,1,3,78.3,1033.95,0
204,9142-KZXOP,1,0,0,0,44,1,0,1,0,0,0,0,0,0,0,0,3,68.85,2958.95,0
205,7674-YTAFD,0,0,0,0,33,1,0,1,0,1,0,1,0,0,1,1,2,79.95,2684.85,0
206,6348-SNFUS,1,0,1,1,72,0,0,2,1,1,1,1,0,1,2,1,3,55.45,4179.2,0
207,1285-OKIPP,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,79.9,79.9,1
208,7825-ECJRF,0,0,0,0,19,1,0,1,1,0,1,1,1,1,0,1,0,106.6,1934.45,1
209,1347-KTTTA,1,0,1,0,64,1,0,1,0,1,1,1,1,1,1,1,3,102.45,6654.1,0
210,7841-TZDMQ,1,0,0,0,2,1,0,2,0,0,0,0,0,0,0,1,3,46.0,84.5,1
211,4195-NZGTA,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,25.25,25.25,0
212,7157-SMCFK,1,0,0,1,61,1,0,0,0,0,0,0,0,0,2,0,1,19.75,1124.2,0
213,4709-LKHYG,0,0,1,1,29,1,0,0,0,0,0,0,0,0,1,0,0,20.0,540.05,0
214,2504-DSHIH,1,1,1,0,23,1,1,1,0,0,0,0,0,1,0,0,0,86.8,1975.85,0
215,0699-NDKJM,0,0,1,0,57,0,0,2,1,1,1,0,1,1,0,1,2,58.75,3437.45,0
216,9286-BHDQG,1,0,1,1,72,0,0,2,1,1,1,1,0,0,2,0,3,45.25,3139.8,0
217,0230-WEQUW,1,0,1,0,66,0,0,2,1,1,1,1,1,0,2,1,2,56.6,3789.2,0
218,2040-LDIWQ,1,0,1,1,65,1,1,2,0,1,1,1,1,1,2,1,2,84.2,5324.5,0
219,6496-JDSSB,0,0,0,0,8,1,0,1,0,0,0,0,1,0,0,1,2,80.0,624.6,0
220,9408-SSNVZ,0,0,0,0,4,1,0,1,0,0,0,0,0,0,0,1,0,70.15,268.35,1
221,4443-EMBNA,0,0,1,0,71,1,1,0,0,0,0,0,0,0,2,0,2,24.75,1836.9,0
222,6469-MRVET,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,20.2,20.2,0
223,0742-MOABM,1,0,1,0,4,1,0,2,0,0,0,1,0,0,0,0,1,50.05,179.35,1
224,5961-VUSRV,0,0,0,0,12,1,0,0,0,0,0,0,0,0,1,1,2,19.35,219.35,0
225,6778-JFCMK,1,0,0,0,24,0,0,2,1,0,0,0,1,1,1,1,1,50.6,1288.75,0
226,6341-JVQGF,0,0,1,1,31,1,0,2,1,0,1,1,1,1,1,1,1,81.15,2545.75,0
227,2232-DMLXU,0,0,1,0,1,1,0,2,0,0,0,0,1,0,0,0,1,55.2,55.2,1
228,4811-JBUVU,1,0,0,0,30,1,1,1,0,0,0,1,0,1,0,1,3,89.9,2723.15,0
229,0945-TSONX,0,0,1,1,47,1,1,2,1,1,0,1,1,1,2,1,3,85.3,4107.25,0
230,2651-ZCBXV,1,0,0,0,54,1,1,1,1,1,0,1,1,1,2,1,3,108.0,5760.65,0
231,3316-UWXUY,1,0,0,0,50,1,0,1,1,1,0,1,0,1,0,1,3,93.5,4747.5,0
232,8937-RDTHP,1,0,0,0,1,1,0,1,1,0,0,0,0,1,0,1,1,84.6,84.6,1
233,7083-MIOPC,0,0,0,0,72,1,0,0,0,0,0,0,0,0,2,0,3,20.25,1566.9,0
234,1984-GPTEH,0,0,0,0,29,1,1,0,0,0,0,0,0,0,0,0,0,25.15,702.0,0
235,1251-KRREG,1,0,0,0,2,1,1,2,0,1,0,0,0,0,0,1,1,54.4,114.1,1
236,0621-JFHOL,0,0,0,0,10,0,0,2,0,0,0,1,0,0,2,1,1,29.6,299.05,0
237,9903-LYSAB,1,0,1,0,18,1,1,1,0,0,0,0,0,0,0,1,0,73.15,1305.95,0
238,0094-OIFMO,0,1,0,0,11,1,0,1,0,1,0,0,1,1,0,1,0,95.0,1120.3,1
239,9227-UAQFT,1,0,0,0,16,1,0,0,0,0,0,0,0,0,2,0,1,19.75,284.35,0
240,7301-ABVAD,0,0,0,0,72,1,1,2,0,1,1,1,1,1,2,0,2,86.6,6350.5,0
241,6614-FHDBO,1,0,0,0,72,1,1,1,0,1,1,1,1,1,2,0,2,109.2,7878.3,0
242,7576-ASEJU,0,0,1,1,41,1,0,2,1,0,0,1,1,1,1,1,3,74.7,3187.65,0
243,9058-HRZSV,0,1,1,0,65,1,0,1,1,1,1,0,0,1,0,0,0,94.4,6126.15,0
244,4522-AKYLR,0,1,0,0,13,1,0,2,0,1,1,0,0,0,0,1,0,54.8,731.3,0
245,0221-WMXNQ,1,1,0,0,4,1,0,1,1,0,0,0,0,0,0,0,0,75.35,273.4,0
