surname,team,ranking,games,wins,draws,losses,goalsFor,goalsAgainst,yellowCards,redCards,position,minutes,shots,passes,tackles,saves
Milito,Argentina,7,5,4,0,1,10,6,7,0,forward,91,0,33,0,0
Otamendi,Argentina,7,5,4,0,1,10,6,7,0,defender,250,0,141,6,0
Palermo,Argentina,7,5,4,0,1,10,6,7,0,forward,10,3,8,0,0
Pastore,Argentina,7,5,4,0,1,10,6,7,0,midfielder,37,2,44,3,0
Rodriguez,Argentina,7,5,4,0,1,10,6,7,0,defender,90,1,72,1,0
Romero,Argentina,7,5,4,0,1,10,6,7,0,goalkeeper,450,0,47,0,10
Samuel,Argentina,7,5,4,0,1,10,6,7,0,defender,114,2,43,1,0
Tevez,Argentina,7,5,4,0,1,10,6,7,0,forward,324,6,164,7,0
Veron,Argentina,7,5,4,0,1,10,6,7,0,midfielder,185,3,235,10,0
Beauchamp,Australia,20,3,1,1,1,3,6,7,2,defender,90,0,33,2,0
Bresciano,Australia,20,3,1,1,1,3,6,7,2,midfielder,132,3,47,1,0
Cahill,Australia,20,3,1,1,1,3,6,7,2,midfielder,146,6,39,1,0
Carney,Australia,20,3,1,1,1,3,6,7,2,defender,180,0,56,4,0
Chipperfield,Australia,20,3,1,1,1,3,6,7,2,midfielder,138,2,50,3,0
Culina,Australia,20,3,1,1,1,3,6,7,2,midfielder,270,4,153,0,0
Emerton,Australia,20,3,1,1,1,3,6,7,2,midfielder,254,1,89,3,0
Garcia,Australia,20,3,1,1,1,3,6,7,2,midfielder,72,2,24,3,0
Grella,Australia,20,3,1,1,1,3,6,7,2,midfielder,45,0,18,2,0
Holman,Australia,20,3,1,1,1,3,6,7,2,forward,138,3,49,2,0
Jedinak,Australia,20,3,1,1,1,3,6,7,2,midfielder,16,0,15,0,0
Kennedy,Australia,20,3,1,1,1,3,6,7,2,forward,112,3,29,1,0
Kewell,Australia,20,3,1,1,1,3,6,7,2,midfielder,24,0,7,1,0
Moore,Australia,20,3,1,1,1,3,6,7,2,defender,180,1,91,3,0
Neill,Australia,20,3,1,1,1,3,6,7,2,defender,270,1,135,4,0
Rukavytsya,Australia,20,3,1,1,1,3,6,7,2,forward,32,1,12,0,0
Schwarzer,Australia,20,3,1,1,1,3,6,7,2,goalkeeper,270,0,51,0,13
Valeri,Australia,20,3,1,1,1,3,6,7,2,midfielder,245,0,135,5,0
Wilkshire,Australia,20,3,1,1,1,3,6,7,2,midfielder,256,2,117,8,0
Baptista,Brazil,1,5,3,1,1,9,4,7,2,midfielder,82,0,42,1,0
Daniel Alves,Brazil,1,5,3,1,1,9,4,7,2,defender,310,11,215,6,0
Elano,Brazil,1,5,3,1,1,9,4,7,2,midfielder,140,5,57,6,0
Fabiano,Brazil,1,5,3,1,1,9,4,7,2,forward,418,9,89,4,0
Gilberto,Brazil,1,5,3,1,1,9,4,7,2,defender,33,0,6,4,0
Gilberto Silva,Brazil,1,5,3,1,1,9,4,7,2,midfielder,450,3,299,11,0
Grafite,Brazil,1,5,3,1,1,9,4,7,2,forward,5,0,4,0,0
Josue,Brazil,1,5,3,1,1,9,4,7,2,midfielder,46,0,54,1,0
Juan,Brazil,1,5,3,1,1,9,4,7,2,defender,450,4,223,9,0
Julio Cesar,Brazil,1,5,3,1,1,9,4,7,2,goalkeeper,450,0,69,0,10
Kaka,Brazil,1,5,3,1,1,9,4,7,2,midfielder,337,6,139,2,0
Kleberson,Brazil,1,5,3,1,1,9,4,7,2,midfielder,9,0,1,0,0
Lucio,Brazil,1,5,3,1,1,9,4,7,2,defender,450,1,223,14,0
Maicon,Brazil,1,5,3,1,1,9,4,7,2,defender,450,6,249,11,0
Melo,Brazil,1,5,3,1,1,9,4,7,2,midfielder,291,2,249,12,0
Michel Bastos,Brazil,1,5,3,1,1,9,4,7,2,defender,422,7,224,14,0
Nilmar,Brazil,1,5,3,1,1,9,4,7,2,forward,129,5,18,3,0
Ramires,Brazil,1,5,3,1,1,9,4,7,2,midfielder,105,3,53,3,0
Robinho,Brazil,1,5,3,1,1,9,4,7,2,forward,354,9,181,5,0
Aboubakar,Cameroon,19,3,0,0,3,2,5,5,0,forward,46,2,16,0,0
Alexandre Song,Cameroon,19,3,0,0,3,2,5,5,0,midfielder,90,1,59,7,0
Assou-Ekotto,Cameroon,19,3,0,0,3,2,5,5,0,defender,270,0,116,5,0
Bassong,Cameroon,19,3,0,0,3,2,5,5,0,defender,163,0,71,3,0
Bong,Cameroon,19,3,0,0,3,2,5,5,0,defender,56,0,12,0,0
Chedjou,Cameroon,19,3,0,0,3,2,5,5,0,midfielder,90,2,77,2,0
Choupo-Moting,Cameroon,19,3,0,0,3,2,5,5,0,forward,147,2,38,1,0
Emana,Cameroon,19,3,0,0,3,2,5,5,0,midfielder,117,7,59,2,0
Enoh,Cameroon,19,3,0,0,3,2,5,5,0,midfielder,135,2,56,8,0
Eto'o,Cameroon,19,3,0,0,3,2,5,5,0,forward,270,4,89,3,0
Geremi,Cameroon,19,3,0,0,3,2,5,5,0,defender,195,1,93,1,0
Hamidou,Cameroon,19,3,0,0,3,2,5,5,0,goalkeeper,270,0,54,0,9
Idrissou,Cameroon,19,3,0,0,3,2,5,5,0,forward,50,2,23,1,0
Makoun,Cameroon,19,3,0,0,3,2,5,5,0,midfielder,210,4,164,2,0
Matip,Cameroon,19,3,0,0,3,2,5,5,0,defender,63,0,37,3,0
Mbia,Cameroon,19,3,0,0,3,2,5,5,0,defender,270,3,135,4,0
N'Guemo,Cameroon,19,3,0,0,3,2,5,5,0,midfielder,90,1,51,1,0
N'Koulou,Cameroon,19,3,0,0,3,2,5,5,0,defender,253,0,152,4,0
Rigobert Song,Cameroon,19,3,0,0,3,2,5,5,0,defender,17,0,3,0,0
Webo,Cameroon,19,3,0,0,3,2,5,5,0,forward,168,4,39,3,0
Beausejour,Chile,18,4,2,0,2,3,5,13,1,midfielder,360,2,100,7,0
Bravo,Chile,18,4,2,0,2,3,5,13,1,goalkeeper,360,0,58,0,4
Carmona,Chile,18,4,2,0,2,3,5,13,1,midfielder,270,1,175,9,0
Contreras,Chile,18,4,2,0,2,3,5,13,1,defender,54,0,17,1,0
Estrada,Chile,18,4,2,0,2,3,5,13,1,midfielder,37,1,16,2,0
Fernandez,Chile,18,4,2,0,2,3,5,13,1,midfielder,155,1,72,2,0
Fuentes,Chile,18,4,2,0,2,3,5,13,1,defender,90,0,27,3,0
Gonzalez,Chile,18,4,2,0,2,3,5,13,1,midfielder,138,10,41,6,0
Isla,Chile,18,4,2,0,2,3,5,13,1,defender,332,1,123,10,0
Jara,Chile,18,4,2,0,2,3,5,13,1,defender,308,1,187,8,0
Medel,Chile,18,4,2,0,2,3,5,13,1,defender,270,1,123,7,0
Millar,Chile,18,4,2,0,2,3,5,13,1,midfielder,125,1,80,3,0
Orellana,Chile,18,4,2,0,2,3,5,13,1,forward,25,1,7,0,0
Paredes,Chile,18,4,2,0,2,3,5,13,1,forward,70,3,11,5,0
Ponce,Chile,18,4,2,0,2,3,5,13,1,defender,270,2,113,4,0
Suazo,Chile,18,4,2,0,2,3,5,13,1,forward,135,4,39,1,0
Sanchez,Chile,18,4,2,0,2,3,5,13,1,forward,335,7,113,13,0
Tello,Chile,18,4,2,0,2,3,5,13,1,midfielder,45,0,29,1,0
Valdivia,Chile,18,4,2,0,2,3,5,13,1,forward,222,3,91,3,0
Vidal,Chile,18,4,2,0,2,3,5,13,1,defender,306,6,178,17,0
Agger,Denmark,36,3,1,0,2,3,6,6,0,defender,270,2,120,10,0
Beckmann,Denmark,36,3,1,0,2,3,6,6,0,midfielder,28,0,8,0,0
Bendtner,Denmark,36,3,1,0,2,3,6,6,0,forward,242,4,70,0,0
Christian Poulsen,Denmark,36,3,1,0,2,3,6,6,0,midfielder,270,1,179,7,0
Enevoldsen,Denmark,36,3,1,0,2,3,6,6,0,midfielder,56,2,10,0,0
Eriksen,Denmark,36,3,1,0,2,3,6,6,0,midfielder,44,1,20,1,0
Gronkjaer,Denmark,36,3,1,0,2,3,6,6,0,midfielder,101,1,29,3,0
Jacobsen,Denmark,36,3,1,0,2,3,6,6,0,defender,270,0,95,3,0
Jakob Poulsen,Denmark,36,3,1,0,2,3,6,6,0,midfielder,60,2,40,0,0
Jensen,Denmark,36,3,1,0,2,3,6,6,0,midfielder,45,0,21,2,0
Jorgensen,Denmark,36,3,1,0,2,3,6,6,0,midfielder,169,1,78,8,0
Kahlenberg,Denmark,36,3,1,0,2,3,6,6,0,midfielder,159,2,59,3,0
Kjaer,Denmark,36,3,1,0,2,3,6,6,0,defender,180,1,41,3,0
Kroldrup,Denmark,36,3,1,0,2,3,6,6,0,defender,56,1,32,0,0
Larsen,Denmark,36,3,1,0,2,3,6,6,0,forward,34,2,5,0,0
Rommedahl,Denmark,36,3,1,0,2,3,6,6,0,midfielder,270,4,74,5,0
Simon Poulsen,Denmark,36,3,1,0,2,3,6,6,0,midfielder,270,1,99,9,0
Sorensen,Denmark,36,3,1,0,2,3,6,6,0,goalkeeper,270,0,52,0,16
Tomasson,Denmark,36,3,1,0,2,3,6,6,0,forward,176,7,51,1,0
Ashley Cole,England,8,4,1,2,1,3,5,6,0,defender,360,0,142,12,0
Barry,England,8,4,1,2,1,3,5,6,0,midfielder,264,2,171,8,0
Carragher,England,8,4,1,2,1,3,5,6,0,defender,135,0,74,4,0
Crouch,England,8,4,1,2,1,3,5,6,0,forward,17,1,7,0,0
Defoe,England,8,4,1,2,1,3,5,6,0,forward,173,5,17,1,0
Gerrard,England,8,4,1,2,1,3,5,6,0,midfielder,360,10,227,5,0
Glen Johnson,England,8,4,1,2,1,3,5,6,0,defender,357,3,173,17,0
Green,England,8,4,1,2,1,3,5,6,0,goalkeeper,90,0,21,0,3
Heskey,England,8,4,1,2,1,3,5,6,0,forward,176,2,53,7,0
James,England,8,4,1,2,1,3,5,6,0,goalkeeper,270,0,72,0,6
Joe Cole,England,8,4,1,2,1,3,5,6,0,midfielder,44,1,26,0,0
King,England,8,4,1,2,1,3,5,6,0,defender,45,0,17,0,0
Lampard,England,8,4,1,2,1,3,5,6,0,midfielder,360,11,232,3,0
Lennon,England,8,4,1,2,1,3,5,6,0,midfielder,153,0,43,1,0
Milner,England,8,4,1,2,1,3,5,6,0,midfielder,185,1,57,6,0
Rooney,England,8,4,1,2,1,3,5,6,0,forward,342,8,121,2,0
Terry,England,8,4,1,2,1,3,5,6,0,defender,360,2,223,3,0
Upson,England,8,4,1,2,1,3,5,6,0,defender,180,1,93,4,0
Wright-Phillips,England,8,4,1,2,1,3,5,6,0,midfielder,89,2,29,2,0
Abidal,France,9,3,0,1,2,1,4,6,1,defender,180,0,91,6,0
Abou Diaby,France,9,3,0,1,2,1,4,6,1,midfielder,270,1,111,5,0
Alou Diarra,France,9,3,0,1,2,1,4,6,1,midfielder,82,0,31,0,0
Anelka,France,9,3,0,1,2,1,4,6,1,forward,117,7,37,1,0
Cisse,France,9,3,0,1,2,1,4,6,1,forward,55,3,7,1,0
Clichy,France,9,3,0,1,2,1,4,6,1,defender,90,0,46,2,0
Evra,France,9,3,0,1,2,1,4,6,1,defender,180,0,92,4,0
Gallas,France,9,3,0,1,2,1,4,6,1,defender,270,0,96,2,0
Gignac,France,9,3,0,1,2,1,4,6,1,forward,95,3,19,1,0
Gourcuff,France,9,3,0,1,2,1,4,6,1,midfielder,100,3,40,3,0
Govou,France,9,3,0,1,2,1,4,6,1,forward,162,1,35,4,0
Henry,France,9,3,0,1,2,1,4,6,1,forward,53,1,21,2,0
Lloris,France,9,3,0,1,2,1,4,6,1,goalkeeper,270,0,43,0,12
Malouda,France,9,3,0,1,2,1,4,6,1,midfielder,150,4,76,1,0
Ribery,France,9,3,0,1,2,1,4,6,1,midfielder,270,4,104,9,0
Sagna,France,9,3,0,1,2,1,4,6,1,defender,270,0,125,4,0
Squillaci,France,9,3,0,1,2,1,4,6,1,defender,90,0,34,1,0
Toulalan,France,9,3,0,1,2,1,4,6,1,midfielder,180,1,98,9,0
Valbuena,France,9,3,0,1,2,1,4,6,1,midfielder,21,1,11,1,0
Badstuber,Germany,6,6,4,0,2,13,3,8,1,defender,167,0,84,6,0
Boateng,Germany,6,6,4,0,2,13,3,8,1,defender,287,1,125,10,0
Cacau,Germany,6,6,4,0,2,13,3,8,1,forward,132,4,54,1,0
Friedrich,Germany,6,6,4,0,2,13,3,8,1,defender,540,1,244,16,0
Gomez,Germany,6,6,4,0,2,13,3,8,1,forward,57,2,18,0,0
Jansen,Germany,6,6,4,0,2,13,3,8,1,defender,73,1,44,3,0
Khedira,Germany,6,6,4,0,2,13,3,8,1,midfielder,517,6,279,16,0
Kiessling,Germany,6,6,4,0,2,13,3,8,1,forward,7,0,5,0,0
Klose,Germany,6,6,4,0,2,13,3,8,1,forward,356,11,83,4,0
Kroos,Germany,6,6,4,0,2,13,3,8,1,midfielder,50,2,29,4,0
Lahm,Germany,6,6,4,0,2,13,3,8,1,defender,540,0,360,17,0
Marin,Germany,6,6,4,0,2,13,3,8,1,midfielder,29,1,6,0,0
Mertesacker,Germany,6,6,4,0,2,13,3,8,1,defender,540,0,282,9,0
Mueller,Germany,6,6,4,0,2,13,3,8,1,forward,383,7,165,9,0
Neuer,Germany,6,6,4,0,2,13,3,8,1,goalkeeper,540,0,99,0,20
Podolski,Germany,6,6,4,0,2,13,3,8,1,forward,531,17,217,9,0
Schweinsteiger,Germany,6,6,4,0,2,13,3,8,1,midfielder,531,5,423,23,0
Trochowski,Germany,6,6,4,0,2,13,3,8,1,midfielder,109,1,60,5,0
Ozil,Germany,6,6,4,0,2,13,3,8,1,midfielder,497,7,266,3,0
Addy,Ghana,32,5,2,2,1,5,4,11,0,defender,138,0,51,2,0
Adiyiah,Ghana,32,5,2,2,1,5,4,11,0,forward,33,0,9,0,0
Amoah,Ghana,32,5,2,2,1,5,4,11,0,forward,11,0,4,1,0
Annan,Ghana,32,5,2,2,1,5,4,11,0,midfielder,510,4,307,11,0
Appiah,Ghana,32,5,2,2,1,5,4,11,0,midfielder,105,1,54,2,0
Asamoah,Ghana,32,5,2,2,1,5,4,11,0,midfielder,480,11,214,9,0
Ayew,Ghana,32,5,2,2,1,5,4,11,0,midfielder,389,3,170,15,0
Boateng,Ghana,32,5,2,2,1,5,4,11,0,midfielder,464,12,220,20,0
Gyan,Ghana,32,5,2,2,1,5,4,11,0,forward,501,27,151,1,0
Inkoom,Ghana,32,5,2,2,1,5,4,11,0,defender,187,1,62,3,0
John Mensah,Ghana,32,5,2,2,1,5,4,11,0,defender,420,1,108,10,0
Jonathan Mensah,Ghana,32,5,2,2,1,5,4,11,0,defender,300,2,105,6,0
Kingson,Ghana,32,5,2,2,1,5,4,11,0,goalkeeper,510,0,105,1,20
Muntari,Ghana,32,5,2,2,1,5,4,11,0,midfielder,134,5,69,3,0
Owusu-Abeyie,Ghana,32,5,2,2,1,5,4,11,0,forward,35,2,22,0,0
Pantsil,Ghana,32,5,2,2,1,5,4,11,0,defender,510,2,248,7,0
Sarpei,Ghana,32,5,2,2,1,5,4,11,0,defender,463,0,167,13,0
Tagoe,Ghana,32,5,2,2,1,5,4,11,0,forward,210,3,48,1,0
Vorsah,Ghana,32,5,2,2,1,5,4,11,0,defender,210,1,56,2,0
Avraam Papadopoulos,Greece,13,3,1,0,2,2,5,5,0,defender,270,1,70,8,0
Charisteas,Greece,13,3,1,0,2,2,5,5,0,forward,61,0,12,2,0
Gekas,Greece,13,3,1,0,2,2,5,5,0,forward,169,3,26,0,0
Kapetanos,Greece,13,3,1,0,2,2,5,5,0,forward,29,1,7,0,0
Karagounis,Greece,13,3,1,0,2,2,5,5,0,midfielder,180,4,105,7,0
Katsouranis,Greece,13,3,1,0,2,2,5,5,0,midfielder,234,2,115,4,0
Kyrgiakos,Greece,13,3,1,0,2,2,5,5,0,defender,180,4,40,1,0
Moras,Greece,13,3,1,0,2,2,5,5,0,defender,90,0,4,2,0
Ninis,Greece,13,3,1,0,2,2,5,5,0,midfielder,47,1,22,4,0
Papastathopoulos,Greece,13,3,1,0,2,2,5,5,0,defender,127,0,18,10,0
Patsatzoglou,Greece,13,3,1,0,2,2,5,5,0,midfielder,80,0,31,0,0
Salpingidis,Greece,13,3,1,0,2,2,5,5,0,forward,121,3,28,4,0
Samaras,Greece,13,3,1,0,2,2,5,5,0,forward,202,7,43,1,0
Seitaridis,Greece,13,3,1,0,2,2,5,5,0,defender,90,0,39,6,0
Spiropoulos,Greece,13,3,1,0,2,2,5,5,0,defender,45,1,6,2,0
Torosidis,Greece,13,3,1,0,2,2,5,5,0,defender,235,3,74,5,0
Tziolis,Greece,13,3,1,0,2,2,5,5,0,midfielder,270,2,153,8,0
Tzorvas,Greece,13,3,1,0,2,2,5,5,0,goalkeeper,270,0,41,0,12
Vintra,Greece,13,3,1,0,2,2,5,5,0,defender,270,0,89,4,0
Alvarez,Honduras,38,3,0,1,2,0,3,7,0,midfielder,180,1,57,1,0
Bernardez,Honduras,38,3,0,1,2,0,3,7,0,defender,90,2,34,4,0
Chavez,Honduras,38,3,0,1,2,0,3,7,0,defender,270,0,62,3,0
Espinoza,Honduras,38,3,0,1,2,0,3,7,0,midfielder,135,0,36,4,0
Figueroa,Honduras,38,3,0,1,2,0,3,7,0,defender,270,1,94,5,0
Guevara,Honduras,38,3,0,1,2,0,3,7,0,midfielder,156,0,60,6,0
Izaguirre,Honduras,38,3,0,1,2,0,3,7,0,defender,180,0,51,8,0
Jerry Palacios,Honduras,38,3,0,1,2,0,3,7,0,forward,84,0,19,0,0
Mauricio Sabilluen,Honduras,38,3,0,1,2,0,3,7,0,defender,90,0,38,5,0
Mendoza,Honduras,38,3,0,1,2,0,3,7,0,defender,180,0,51,3,0
Nunez,Honduras,38,3,0,1,2,0,3,7,0,midfielder,172,4,60,1,0
Pavon,Honduras,38,3,0,1,2,0,3,7,0,forward,60,1,9,0,0
Suazo,Honduras,38,3,0,1,2,0,3,7,0,forward,171,2,35,0,0
Thomas,Honduras,38,3,0,1,2,0,3,7,0,midfielder,114,0,37,5,0
Turcios,Honduras,38,3,0,1,2,0,3,7,0,midfielder,66,0,27,0,0
Valladares,Honduras,38,3,0,1,2,0,3,7,0,goalkeeper,270,0,51,0,12
Walter Martinez,Honduras,38,3,0,1,2,0,3,7,0,forward,125,0,43,1,0
Welcome,Honduras,38,3,0,1,2,0,3,7,0,forward,87,2,16,0,0
Wilson Palacios,Honduras,38,3,0,1,2,0,3,7,0,midfielder,270,0,90,14,0
Buffon,Italy,5,3,0,2,1,4,5,5,0,goalkeeper,45,0,4,0,0
Camoranesi,Italy,5,3,0,2,1,4,5,5,0,midfielder,76,2,45,2,0
Cannavaro,Italy,5,3,0,2,1,4,5,5,0,defender,270,0,138,11,0
Chiellini,Italy,5,3,0,2,1,4,5,5,0,defender,270,2,155,7,0
Criscito,Italy,5,3,0,2,1,4,5,5,0,defender,225,1,114,6,0
De Rossi,Italy,5,3,0,2,1,4,5,5,0,midfielder,270,3,204,9,0
Di Natale,Italy,5,3,0,2,1,4,5,5,0,forward,153,6,55,2,0
Gattuso,Italy,5,3,0,2,1,4,5,5,0,midfielder,45,0,13,5,0
Gilardino,Italy,5,3,0,2,1,4,5,5,0,forward,117,1,32,0,0
Iaquinta,Italy,5,3,0,2,1,4,5,5,0,forward,270,5,48,3,0
Maggio,Italy,5,3,0,2,1,4,5,5,0,defender,45,0,21,1,0
Marchetti,Italy,5,3,0,2,1,4,5,5,0,goalkeeper,225,0,21,0,1
Marchisio,Italy,5,3,0,2,1,4,5,5,0,midfielder,120,0,57,2,0
Montolivo,Italy,5,3,0,2,1,4,5,5,0,midfielder,236,8,163,9,0
Pazzini,Italy,5,3,0,2,1,4,5,5,0,forward,29,0,6,0,0
Pepe,Italy,5,3,0,2,1,4,5,5,0,forward,225,3,100,5,0
Pirlo,Italy,5,3,0,2,1,4,5,5,0,midfielder,34,0,28,0,0
Quagliarella,Italy,5,3,0,2,1,4,5,5,0,forward,45,3,22,2,0
Zambrotta,Italy,5,3,0,2,1,4,5,5,0,defender,270,2,128,6,0
Barry,Ivory Coast,27,3,1,1,1,4,3,5,0,goalkeeper,270,0,23,0,8
Boka,Ivory Coast,27,3,1,1,1,4,3,5,0,defender,90,2,50,5,0
Demel,Ivory Coast,27,3,1,1,1,4,3,5,0,defender,180,0,60,6,0
Dindane,Ivory Coast,27,3,1,1,1,4,3,5,0,forward,170,1,66,2,0
Doumbia,Ivory Coast,27,3,1,1,1,4,3,5,0,forward,11,0,2,0,0
Drogba,Ivory Coast,27,3,1,1,1,4,3,5,0,forward,204,8,35,2,0
Eboue,Ivory Coast,27,3,1,1,1,4,3,5,0,defender,251,3,126,6,0
Gervinho,Ivory Coast,27,3,1,1,1,4,3,5,0,forward,182,5,60,1,0
Kader Keita,Ivory Coast,27,3,1,1,1,4,3,5,0,midfielder,94,2,48,2,0
Kalou,Ivory Coast,27,3,1,1,1,4,3,5,0,forward,160,4,50,3,0
Kolo Toure,Ivory Coast,27,3,1,1,1,4,3,5,0,defender,270,2,88,2,0
Romaric,Ivory Coast,27,3,1,1,1,4,3,5,0,midfielder,98,5,82,4,0
Tiote,Ivory Coast,27,3,1,1,1,4,3,5,0,midfielder,270,3,148,8,0
Tiene,Ivory Coast,27,3,1,1,1,4,3,5,0,defender,180,1,82,7,0
Yaya Toure,Ivory Coast,27,3,1,1,1,4,3,5,0,midfielder,270,3,197,5,0
Zokora,Ivory Coast,27,3,1,1,1,4,3,5,0,midfielder,270,0,96,5,0
Abe,Japan,45,4,2,1,1,4,2,7,0,midfielder,351,0,101,14,0
Endo,Japan,45,4,2,1,1,4,2,7,0,midfielder,389,1,147,9,0
Hasebe,Japan,45,4,2,1,1,4,2,7,0,midfielder,375,2,125,8,0
Honda,Japan,45,4,2,1,1,4,2,7,0,midfielder,390,8,143,5,0
Inamoto,Japan,45,4,2,1,1,4,2,7,0,midfielder,3,0,5,0,0
Kawashima,Japan,45,4,2,1,1,4,2,7,0,goalkeeper,390,0,54,0,17
Kengo Nakamura,Japan,45,4,2,1,1,4,2,7,0,midfielder,39,0,10,0,0
Komano,Japan,45,4,2,1,1,4,2,7,0,defender,390,3,115,16,0
Konno,Japan,45,4,2,1,1,4,2,7,0,defender,2,0,0,0,0
Marcus Tulio Tanaka,Japan,45,4,2,1,1,4,2,7,0,defender,390,5,129,5,0
Matsui,Japan,45,4,2,1,1,4,2,7,0,midfielder,273,3,95,4,0
Nagatomo,Japan,45,4,2,1,1,4,2,7,0,defender,390,4,68,4,0
Nakazawa,Japan,45,4,2,1,1,4,2,7,0,defender,390,1,106,3,0
Okazaki,Japan,45,4,2,1,1,4,2,7,0,forward,104,4,15,2,0
Okubo,Japan,45,4,2,1,1,4,2,7,0,forward,351,7,68,4,0
Shunsuke Nakamura,Japan,45,4,2,1,1,4,2,7,0,midfielder,26,0,18,1,0
Tamada,Japan,45,4,2,1,1,4,2,7,0,forward,28,0,9,0,0
Yano,Japan,45,4,2,1,1,4,2,7,0,forward,9,0,4,0,0
Aguilar,Mexico,17,4,1,1,2,4,5,9,0,defender,55,0,31,2,0
Barrera,Mexico,17,4,1,1,2,4,5,9,0,midfielder,149,4,59,2,0
Bautista,Mexico,17,4,1,1,2,4,5,9,0,forward,45,0,8,3,0
Blanco,Mexico,17,4,1,1,2,4,5,9,0,forward,112,2,60,3,0
Castro,Mexico,17,4,1,1,2,4,5,9,0,midfielder,33,0,21,1,0
Franco,Mexico,17,4,1,1,2,4,5,9,0,forward,253,4,71,2,0
Giovani dos Santos,Mexico,17,4,1,1,2,4,5,9,0,midfielder,360,2,106,4,0
Guardado,Mexico,17,4,1,1,2,4,5,9,0,midfielder,142,5,92,2,0
Hernandez,Mexico,17,4,1,1,2,4,5,9,0,forward,169,6,37,1,0
Juarez,Mexico,17,4,1,1,2,4,5,9,0,defender,235,0,128,6,0
Moreno,Mexico,17,4,1,1,2,4,5,9,0,defender,147,0,74,4,0
Marquez,Mexico,17,4,1,1,2,4,5,9,0,defender,360,6,244,14,0
Osorio,Mexico,17,4,1,1,2,4,5,9,0,defender,360,1,202,14,0
Perez,Mexico,17,4,1,1,2,4,5,9,0,goalkeeper,360,0,58,0,13
Rodrueguez,Mexico,17,4,1,1,2,4,5,9,0,defender,360,2,212,7,0
Salcido,Mexico,17,4,1,1,2,4,5,9,0,defender,360,9,174,15,0
Torrado,Mexico,17,4,1,1,2,4,5,9,0,midfielder,360,1,253,22,0
Vela,Mexico,17,4,1,1,2,4,5,9,0,forward,100,1,25,1,0
Afellay,Netherlands,4,6,6,0,0,12,5,15,0,midfielder,21,5,22,0,0
Boulahrouz,Netherlands,4,6,6,0,0,12,5,15,0,defender,180,0,81,8,0
Elia,Netherlands,4,6,6,0,0,12,5,15,0,forward,85,2,38,2,0
Heitinga,Netherlands,4,6,6,0,0,12,5,15,0,defender,540,0,259,10,0
Huntelaar,Netherlands,4,6,6,0,0,12,5,15,0,forward,48,1,12,0,0
Kuyt,Netherlands,4,6,6,0,0,12,5,15,0,forward,516,11,248,7,0
Mathijsen,Netherlands,4,6,6,0,0,12,5,15,0,defender,450,1,265,8,0
